start_node,end_node,500_cars,1000_cars
170424926,1199905289,398570,447040
170424926,2114250,419070,444740
170424926,2114253,410970,453580
170424926,80041651,404440,441430
170425961,1199905289,420470,453320
170425961,2114250,423860,443500
170425961,2114253,421850,435940
170425961,80041651,399220,450070
28961405,1199905289,409720,441690
28961405,2114250,414000,447560
28961405,2114253,393170,447390
28961405,80041651,401790,443810
329026137,1199905289,417620,440940
329026137,2114250,424000,440600
329026137,2114253,407270,439130
329026137,80041651,412490,441830
